group,keyword
Chính sách và thực thi,hạn_chế
Chính sách và thực thi,cấm
Chính sách và thực thi,khuyến_khích
Chính sách và thực thi,xử_phạt
Chính sách và thực thi,kiểm_soát
Chính sách và thực thi,giám_sát
Chính sách và thực thi,vi_phạm
Chính sách và thực thi,ưu_tiên
Phương tiện,xe_máy
Phương tiện,ô_tô
Phương tiện,xe_xăng
Phương tiện,xe_điện
Phương tiện,bus
Phương tiện,metro
Môi trường,ô_nhiễm
Môi trường,khí_thải
Môi trường,bụi_mịn
Môi trường,phát_thải
Môi trường,thải
Môi trường,bụi
Môi trường,xanh
Môi trường,đẹp
Môi trường,không_khí
Đánh giá và công bằng,công_bằng
Đánh giá và công bằng,bất_cập
Đánh giá và công bằng,hợp_lý
Đánh giá và công bằng,vô_lý
Đánh giá và công bằng,cần_thiết
Đánh giá và công bằng,bất_tiện
Đánh giá và công bằng,ủng_hộ
Đánh giá và công bằng,phản_đối
Kinh tế,kinh_tế
Kinh tế,chi_phí
Kinh tế,tốn_kém
Kinh tế,tiền
Kinh tế,nghèo
Kinh tế,lãng_phí
Xe điện và hạ tầng,trạm_sạc
Xe điện và hạ tầng,pin
Xe điện và hạ tầng,cháy
Xe điện và hạ tầng,sạc
Xe điện và hạ tầng,chung_cư
